CD8_cl1,blue2
CD8_cl2,darkorange2
CD8_cl4,darkolivegreen2
CD8_cl5,darkorchid2
CD8_cl6,deepskyblue2
CD8_cl7,pink2
CD8_cl10,chartreuse2
CD8_cl11,darkgoldenrod2
CD8_cl12,cadetblue2
CD8_cl13,brown2
CD8_cl14,darkseagreen2
CD8_cl15,violetred2
CD8_cl18,cyan2
CD8_cl20,burlywood2
CD8_cl22,red2
CD8_cl25,blue
CD8_cl26,darkorange
CD8_cl27,darkolivegreen
CD8_cl28,darkorchid
CD8_miniverse,grey
CD8_prolif,black
CD8aa_cl1,chartreuse
CD8aa_cl16,darkgoldenrod
CD8aa_cl20,cadetblue
CD8aa_cl40,brown
CD8aa_cl56,darkseagreen
CD8aa_miniverse,violetred
CD8aa_prolif,cyan
