CD4_cl12,#0000FF
DP_cl61,#FF0000
CD4_cl28,#00FF00
CD4_cl3,#000033
DP_cl62,#FF00B6
CD4_cl9,#005300
CD8_cl1,#FFD300
CD8aa_cl1,#009FFF
CD8_cl25,#9A4D42
CD8aa_cl20,#00FFBE
DP_cl17,#783FC1
CD8_cl4,#1F9698
CD4_cl1,#FFACFD
DN_miniverse,#B1CC71
CD8_cl15,#F1085C
CD4_miniverse,#FE8F42
CD8_miniverse,#DD00FF
CD8_cl2,#201A01
CD8_cl12,#720055
DN_cl39,#766C95
CD8aa_cl40,#02AD24
CD4_cl7,#C8FF00
CD4_cl10,#886C00
CD4_cl2,#FFB79F
Tz_cl8,#858567
CD8_cl27,#A10300
Treg_cl1,#14F9FF
CD8_cl22,#00479E
gdT_prolif,#DC5E93
CD8_cl7,#93D4FF
Tz_cl24,#004CFF
Tz_cl13,#F2F318
gdT_cl43,#5A5156
CD8_cl28,#E4E1E3
gdT_cl2,#F6222E
CD4_cl4,#FE00FA
Treg_prolif,#16FF32
DN_cl3,#3283FE
CD8_cl6,#FEAF16
DP_cl51,#B00068
gdT_cl23,#1CFFCE
CD8_cl18,#90AD1C
CD8aa_cl16,#2ED9FF
CD4_cl5,#DEA0FD
DP_cl60,#AA0DFE
DN_cl58,#F8A19F
Treg_cl6,#325A9B
DP_cl55,#C4451C
gdT_cl33,#1C8356
CD8_cl13,#85660D
gdT_cl54,#B10DA1
gdT_cl35,#FBE426
Tz_cl21,#1CBE4F
CD4_cl21,#FA0087
CD4_prolif,#FC1CBF
gdT_cl28,#F7E1A0
CD4_cl14,#C075A6
CD8_prolif,#782AB6
gdT_miniverse,#AAF400
CD8aa_miniverse,#BDCDFF
gdT_cl10,#822E1C
Treg_cl4,#B5EFB5
CD4_cl25,#7ED7D1
gdT_cl11,#1C7F93
DN_cl41,#D85FF7
CD8_cl10,#683B79
CD8_cl26,#66B0FF
gdT_cl12,#3B00FB
gdT_cl52,#7FC97F
DN_cl29,#BEAED4
CD8aa_cl56,#FDC086
CD4_cl13,#386CB0
DP_miniverse,#F0027F
gdT_cl4,#BF5B17
Treg_cl3,#666666
Treg_cl2,#1B9E77
CD8_cl5,#D95F02
Tz_miniverse,#7570B3
DN_cl15,#E7298A
CD8aa_prolif,#66A61E
gdT_cl9,#E6AB02
gdT_cl42,#A6761D
CD8_cl14,#A6CEE3
CD4_cl20,#1F78B4
CD4_cl22,#B2DF8A
CD4_cl23,#33A02C
DN_cl18,#FB9A99
DN_prolif,#E31A1C
CD4_cl15,#FDBF6F
Treg_cl8,#FF7F00
DP_prolif,#CAB2D6
DN_cl57,#6A3D9A
DP_cl59,#B15928
gdT_cl5,#FBB4AE
DN_cl34,#B3CDE3
Treg_miniverse,#CCEBC5
DP_cl63,#DECBE4
CD8_cl11,#FED9A6
gdT_cl26,#FFFFCC
Tz_prolif,#E5D8BD
CD8_cl20,#FDDAEC
DP_cl65,#F2F2F2
CD4_cl16,#B3E2CD
CD4_cl18,#FDCDAC
DN_cl31,#CBD5E8
DP_cl64,#F4CAE4
CD4_cl17,#E6F5C9
thymocyte,#FFF2AE
gdT_cl46,#F1E2CC
gdT_cl7,#CCCCCC
gdT_cl50,#E41A1C
